year,country,happiness_rank,happiness_score,gdp,social_support,health,freedom,generosity,corruption
2015,Switzerland,1,7.587,1.39651,1.34951,0.94143,0.66557,0.29678,0.41978
2015,Iceland,2,7.561,1.30232,1.40223,0.94784,0.62877,0.4363,0.14145
2015,Denmark,3,7.527,1.32548,1.36058,0.87464,0.64938,0.34139,0.48357
2015,Norway,4,7.522,1.459,1.33095,0.88521,0.66973,0.34699,0.36503
2015,Canada,5,7.427,1.32629,1.32261,0.90563,0.63297,0.45811,0.32957
2015,Finland,6,7.406,1.29025,1.31826,0.88911,0.64169,0.23351,0.41372
2015,Netherlands,7,7.378,1.32944,1.28017,0.89284,0.61576,0.4761,0.31814
2015,Sweden,8,7.364,1.33171,1.28907,0.91087,0.6598,0.36262,0.43844
2015,New Zealand,9,7.286,1.25018,1.31967,0.90837,0.63938,0.47501,0.42922
2015,Australia,10,7.284,1.33358,1.30923,0.93156,0.65124,0.43562,0.35637
2015,Israel,11,7.278,1.22857,1.22393,0.91387,0.41319,0.33172,0.07785
2015,Costa Rica,12,7.226,0.95578,1.23788,0.86027,0.63376,0.25497,0.10583
2015,Austria,13,7.2,1.33723,1.29704,0.89042,0.62433,0.33088,0.18676
2015,Mexico,14,7.187,1.02054,0.91451,0.81444,0.48181,0.14074,0.21312
2015,United States,15,7.119,1.39451,1.24711,0.86179,0.54604,0.40105,0.1589
2015,Brazil,16,6.983,0.98124,1.23287,0.69702,0.49049,0.14574,0.17521
2015,Luxembourg,17,6.946,1.56391,1.21963,0.91894,0.61583,0.28034,0.37798
2015,Ireland,18,6.94,1.33596,1.36948,0.89533,0.61777,0.45901,0.28703
2015,Belgium,19,6.937,1.30782,1.28566,0.89667,0.5845,0.2225,0.2254
2015,United Arab Emirates,20,6.901,1.42727,1.12575,0.80925,0.64157,0.26428,0.38583
2015,United Kingdom,21,6.867,1.26637,1.28548,0.90943,0.59625,0.51912,0.32067
2015,Oman,22,6.853,1.36011,1.08182,0.76276,0.63274,0.21542,0.32524
2015,Venezuela,23,6.81,1.04424,1.25596,0.72052,0.42908,0.05841,0.11069
2015,Singapore,24,6.798,1.52186,1.02,1.02525,0.54252,0.31105,0.4921
2015,Panama,25,6.786,1.06353,1.1985,0.79661,0.5421,0.24434,0.0927
2015,Germany,26,6.75,1.32792,1.29937,0.89186,0.61477,0.28214,0.21843
2015,Chile,27,6.67,1.10715,1.12447,0.85857,0.44132,0.33363,0.12869
2015,Qatar,28,6.611,1.69042,1.0786,0.79733,0.6404,0.32573,0.52208
2015,France,29,6.575,1.27778,1.26038,0.94579,0.55011,0.12332,0.20646
2015,Argentina,30,6.574,1.05351,1.24823,0.78723,0.44974,0.11451,0.08484
2015,Czech Republic,31,6.505,1.17898,1.20643,0.84483,0.46364,0.10686,0.02652
2015,Uruguay,32,6.485,1.06166,1.2089,0.8116,0.60362,0.2324,0.24558
